"Campaign","Category","Sub-Category","Backers","Pledged","Goal","Outcome","Country","Campaign Length","Campaign Bucket"
"ROAM RECORD FUND","Music","Rock",99,"5847","5000","successful","US",30,"Medium"
"ROME - Anno Octavian","Games","Tabletop Games",39,"1105","1000","successful","US",60,"Long"
"The Best Burger Ever!!!","Food","Restaurants",0,"0","500","failed","US",30,"Medium"
"William Charles and Dirt Road Trippers NEW EP","Music","Rock",8,"425","800","failed","US",60,"Long"
"SHARK SHIRT POLO","Fashion","Fashion",33,"1864","10000","failed","US",30,"Medium"
"koi farm","Technology","Technology",0,"0","1500000","failed","US",39,"Long"
"Cinder Block","Film & Video","Shorts",51,"10103","10000","successful","US",30,"Medium"
"Vega - Six String Theory - Alternative Rap Album Production","Music","Hip-Hop",1,"1","3500","failed","US",30,"Medium"
"Life Planner","Design","Product Design",161,"5611","12605","failed","GB",29,"Medium"
"Number Ten Pond - 2014 Calendar","Photography","Photography",43,"1488","3800","failed","US",25,"Medium"
"Fin Rooney","Music","Music",1,"17","4141","failed","GB",30,"Medium"
"Tarp Lake","Art","Public Art",24,"800","2500","failed","US",30,"Medium"
"Chosen Gospel single 'Make me a Believer'","Music","World Music",3,"26","883","failed","GB",21,"Medium"
"OILOVE YOU","Food","Food",1,"20","17000","failed","US",51,"Long"
"Up Against The Downturn","Film & Video","Documentary",9,"1026","5600","failed","US",30,"Medium"
"Mosquito Wars","Film & Video","Documentary",11,"1401","15000","failed","US",30,"Medium"
"Bev's First Studio EP! - The Noble House of Pancake","Music","Pop",224,"12545","12000","successful","US",30,"Medium"
"Clean Water For Africa","Film & Video","Narrative Film",2,"30","50","failed","US",60,"Long"
"Bob's Blend","Food","Food",3,"617","5000","failed","US",91,"Long"
"Lifetime Love: The 5 Rs","Publishing","Poetry",0,"0","15000","live","US",28,"Medium"
"SLICE three: FUGUE","Film & Video","Documentary",0,"0","1","failed","US",30,"Medium"
"Mercurial Theatre Presents: HP Lovecraft's Call of Cthulhu","Theater","Experimental",25,"1651","5000","failed","US",30,"Medium"
"Fomation iPad2 Case","Design","Product Design",95,"3868","12000","failed","US",40,"Long"
"Holdfast Tunisia","Games","Tabletop Games",120,"10070","2500","successful","US",31,"Long"
"RISE","Food","Restaurants",3,"700","25000","failed","US",46,"Long"
"The Silver Star","Comics","Comic Books",15,"669","7000","failed","US",91,"Long"
"All Me","Technology","Apps",0,"0","18000","failed","US",30,"Medium"
"BLACKOUT: The Eradication Protocols","Comics","Comic Books",225,"6419","5200","successful","US",40,"Long"
"Prometheus LMS","Technology","Software",0,"0","50000","failed","US",30,"Medium"
"The NAP","Film & Video","Music Videos",2,"28","10000","failed","US",7,"Short"
"LA Fights","Film & Video","Television",441,"76163","370000","failed","US",45,"Long"
"MISSIN'LINK","Music","Indie Rock",0,"0","30000","failed","US",51,"Long"
"Men's Fashion, the next big thing.","Fashion","Fashion",0,"0","800","failed","US",30,"Medium"
"LostCar","Technology","Web",0,"0","10000","failed","US",45,"Long"
"Jack Daniels Cake","Food","Food",0,"0","3000","failed","US",30,"Medium"
"See the time in every timezone on earth on one Orbi Clock","Design","Design",5,"281","8900","failed","US",45,"Long"
"Love Tove","Games","Tabletop Games",371,"1569","278","canceled","SE",25,"Medium"
"Askøy LAN","Games","Games",0,"0","369","failed","NO",30,"Medium"
"Pirate Zombie","Music","Rock",0,"0","500","failed","US",30,"Medium"
"Exo","Music","Electronic Music",34,"1048","1000","successful","US",24,"Medium"
"Realm Explorer","Games","Video Games",414,"13014","250000","failed","US",30,"Medium"
"Moveable Movie Production Studios for Educators","Film & Video","Film & Video",0,"0","11458","failed","DE",31,"Long"
"Human Rvolution","Fashion","Apparel",0,"0","100000","failed","US",60,"Long"
"NASHVILLE RISES","Film & Video","Film & Video",15,"4001","4000","successful","US",45,"Long"
"Ally.TV","Journalism","Video",0,"0","6000","failed","US",45,"Long"
"Donald Trump Plush with Audio. Checklist on Back of Box.","Design","Product Design",6,"185","35000","failed","US",28,"Medium"
"Mind Magnet - Watch for teaching children to stay on task","Technology","Wearables",0,"0","25000","canceled","US",30,"Medium"
"Cold War 2","Games","Video Games",15,"281","2500","failed","US",30,"Medium"
"Jersey Shoresical:A Frickin' Rock Opera","Theater","Theater",73,"8086","8000","successful","US",30,"Medium"
"Fridge Feet","Design","Product Design",49,"1254","20000","failed","US",30,"Medium"
