"Campaign","Category","Sub-Category","Backers","Pledged","Goal","Outcome","Country","Campaign Length","Campaign Bucket"
"Budsband  End Tangle Frustration","Design","Product Design",2048,"40131","5000","successful","US",30,"Medium"
"Sacred Hollows","Crafts","Woodworking",4,"102","1016","failed","AU",30,"Medium"
"CDPaw Disc Holder. It is summer, but I have no support. Fin.","Comics","Comics",9,"327","2184","failed","US",37,"Long"
"Freedom of Expression T-shirts and Hooded Sweatshirts","Fashion","Apparel",0,"0","1000","failed","US",40,"Long"
"Travelogue: Philippines - Leyte Island (A Travel Book)","Photography","Photography",2,"145","25000","failed","US",30,"Medium"
"TGL: ThanksGiving LIFE | Open World Practical Life Tycoon","Games","Video Games",131,"8718","50000","failed","US",30,"Medium"
"Mine - Vietnam Short Film Nears Completion!!!","Film & Video","Film & Video",20,"749","5000","failed","US",40,"Long"
"Dark Horizon: A Documentary about the Gulf Oil Disaster- FUNDING TO RETURN TO GULF","Film & Video","Documentary",87,"5300","5000","successful","US",25,"Medium"
"The 2016 Drag Show: Welcome to Burlesque (Canceled)","Theater","Theater",2,"45","250","canceled","US",7,"Short"
"STABALLIZER - The exercise ball that does it all.","Design","Product Design",30,"5552","200000","failed","US",42,"Long"
"Sean Marshall & the Near Miss: Full Length Album","Music","Country & Folk",26,"2000","2000","successful","US",30,"Medium"
"After Party","Film & Video","Narrative Film",187,"17025","16200","successful","US",34,"Long"
"The Daeza (Canceled)","Games","Video Games",0,"0","17","canceled","NO",30,"Medium"
"Dark Valentine A World Beguiled Music Video","Music","Rock",29,"1375","1000","successful","US",16,"Medium"
"The Road To Becoming HigherQuestion","Music","Hip-Hop",0,"0","15000","failed","US",60,"Long"
"Utah Temples-Aerial Calendar","Photography","Photography",4,"105","3200","failed","US",30,"Medium"
"Lawn Mower Alternatives","Technology","Technology",0,"0","50000","failed","US",60,"Long"
"Orpheus Descending","Music","Classical Music",96,"3872","3436","successful","CA",30,"Medium"
"Red Riding Hood Short Film : Rauða Hettan","Film & Video","Shorts",26,"1454","1003","successful","GB",35,"Long"
"englishbluebook.com","Publishing","Academic",2,"20","9508","failed","CA",30,"Medium"
"MisterYou - Phase 1","Technology","Apps",0,"0","25840","failed","IT",25,"Medium"
"Zip The Fish Pi - Home Automation for the Raspberry Pi","Technology","DIY Electronics",19,"1586","23514","failed","AT",30,"Medium"
"Cinema 16: Melding Worlds of Art, Film and Music","Film & Video","Shorts",40,"4113","3600","successful","US",75,"Long"
"Time Toupee","Film & Video","Film & Video",0,"2106","2000","undefined","NA",40,"Long"
"101 Ways to Get Rejected: SEASON 2!","Film & Video","Webseries",73,"5128","3000","successful","US",20,"Medium"
"The World Is A Little Lonelier Without You Vinyl - glacis","Music","Classical Music",63,"2545","2445","successful","GB",28,"Medium"
"Monophonics Need a New Bus!","Music","Music",312,"20577","20000","successful","US",30,"Medium"
"CHOP BOX   A Modular Cutting Board System","Design","Product Design",3,"69","10000","failed","US",30,"Medium"
"#onomann","Art","Art",0,"0","600","failed","US",55,"Long"
"Giving My Friends Some Hope (Canceled)","Journalism","Print",1,"1","1","canceled","US",30,"Medium"
"Bone to the Dog - Feature Film","Film & Video","Film & Video",40,"3076","3000","successful","US",60,"Long"
"STOCKHOLM - Uffe Persson 2017","Film & Video","Music Videos",5,"13","250","failed","SE",30,"Medium"
"The Chatbot Wave","Film & Video","Film & Video",1,"1","5077","failed","AT",60,"Long"
"The Snake Doctors: European Tour! (Canceled)","Music","Country & Folk",23,"596","2100","canceled","US",30,"Medium"
"The Grand American Treasure Hunt","Publishing","Publishing",2,"10","50000","live","US",30,"Medium"
"untagged  unisex buffalo leather bags","Fashion","Accessories",15,"3518","12681","failed","DE",30,"Medium"
"A Top Contra Dance Caller for our Band","Music","Music",45,"1828","1750","successful","US",30,"Medium"
"If I Had a Dime - Animating the Groovy Pilot Episode","Film & Video","Animation",49,"3770","34500","failed","US",36,"Long"
"Music Transcription to Germany!","Music","Music",0,"0","1000","failed","US",20,"Medium"
"Open on Sunday","Music","Music",87,"1312","1000","successful","US",89,"Long"
"STATE OF MIND: A CCAC FILM","Film & Video","Shorts",2,"32","800","failed","US",30,"Medium"
"The Limit of Law","Film & Video","Documentary",0,"0","20000","failed","US",30,"Medium"
"Rovin' Okie's Fried Pies","Food","Food",14,"1500","1500","successful","US",15,"Medium"
"Chop Betta!!- Delcious West African Dishes","Food","Food",2,"75","5000","failed","US",60,"Long"
"The Journey Beyond","Photography","People",284,"13537","3000","successful","US",30,"Medium"
"Instant Art Exposure by Leanna Valente","Publishing","Art Books",70,"8255","39802","failed","US",31,"Long"
"Uncertain Existence","Film & Video","Drama",7,"235","15000","failed","US",60,"Long"
"Darkness Reigns - CMG Project","Games","Video Games",7,"43","2029","failed","NZ",30,"Medium"
"Chasing Maria","Publishing","Fiction",8,"425","6500","failed","US",31,"Long"
"BombiniBot - for Teaching Robotics and Programming to Kids","Technology","Robots",97,"6086","3521","successful","US",30,"Medium"
"Pinball Pete's: A Pop'n Music Cabinet","Games","Video Games",6,"286","5000","failed","US",30,"Medium"
"CAVICon Lyon 2015 (Canceled)","Theater","Festivals",3,"26","30677","canceled","FR",47,"Long"
"The Wonder of Community","Crafts","Crafts",19,"507","500","successful","US",20,"Medium"
"Kristinia DeBarge's 3rd Album Dedicated to her FANS!!!","Music","Pop",45,"4665","50000","failed","US",38,"Long"
"Dear Friends: Meet Pleiades by Correatown","Music","Indie Rock",196,"15111","10000","successful","US",76,"Long"
"North Country Goes South!","Dance","Dance",55,"7000","7000","successful","US",35,"Long"
"Can A Guitar Change The World?","Film & Video","Documentary",19,"1545","49000","failed","US",40,"Long"
"Light cone -wall lamp","Design","Product Design",0,"0","7040","failed","IT",30,"Medium"
"Witchmarsh","Games","Video Games",5420,"219902","107342","successful","GB",30,"Medium"
"The Ilex EDC pen and capacitive touch stylus","Design","Product Design",19,"2611","75000","failed","US",30,"Medium"
"Eric Stuart Band new album Strangers In A Strange Love","Music","Rock",131,"15212","15000","successful","US",45,"Long"
"Coupon Print Binder","Technology","Gadgets",5,"139","75000","failed","US",60,"Long"
"True Vine Brewing Co. Pints & Bombers Project","Food","Food",72,"10442","10000","successful","US",30,"Medium"
"JESSE HEIMAN: World's Greatest Extra Documentary","Film & Video","Documentary",165,"21733","65000","failed","US",30,"Medium"
"Fund Raiser for Pump It Up a novel by Tim Baker","Publishing","Fiction",13,"346","2500","failed","US",30,"Medium"
"Kinkfolk","Film & Video","Documentary",2,"26","5000","failed","US",30,"Medium"
"I need a CD!","Music","Country & Folk",19,"2160","4500","failed","US",45,"Long"
"IRECRU-IT","Technology","Web",0,"0","100000","failed","US",60,"Long"
"Father, into your hands... a crucifixion serigraph","Art","Illustration",2,"35","3500","failed","US",30,"Medium"
"English Bed and Breakfast","Food","Food",0,"0","91683","failed","GB",30,"Medium"
"Valentine - A Short Dance Film","Film & Video","Shorts",52,"3602","25000","failed","US",21,"Medium"
"We're ready to go mobile!","Food","Food",11,"215","5000","failed","US",40,"Long"
"Global Sedan  The Fully Insured Mobile App For Car Service","Technology","Apps",5,"305","35000","canceled","US",31,"Long"
"Kamerorkest van het Noorden (Canceled)","Music","Classical Music",6,"157","3614","canceled","NL",30,"Medium"
"NIght of Joy Opportunity","Music","Rock",3,"106","2500","failed","US",7,"Short"
"Repurposed Circus Parade and Workshops in Circus City, WI","Theater","Theater",40,"1858","5000","failed","US",30,"Medium"
"Project Renard (Canceled)","Art","Ceramics",0,"0","400","canceled","US",35,"Long"
"Louie's New Lens","Photography","Photography",34,"958","946","successful","GB",30,"Medium"
"Pacoo The Smartes App!!!","Technology","Apps",0,"0","65540","live","IT",60,"Long"
"Forgotten Highways: The Ozark Trail","Film & Video","Film & Video",10,"690","27100","failed","US",30,"Medium"
"Video Games: The Movie","Film & Video","Documentary",1134,"107235","60000","successful","US",35,"Long"
"Illinois...A Living History","Film & Video","Webseries",0,"0","35000","failed","US",23,"Medium"
"Ruari Piper: Bagpipe for Funerals in Brunswick Co., NC","Music","World Music",1,"1","2700","failed","US",54,"Long"
"Knar Headwear: SnapBack Hats (Canceled)","Fashion","Fashion",1,"20","2500","canceled","US",30,"Medium"
"TV: THE PHYSICAL VERSION","Music","Electronic Music",46,"1690","550","successful","US",40,"Long"
"Art Supplies for Sierra Leone","Art","Art",18,"836","750","successful","US",35,"Long"
"Fred Knipe/the Swimming With Tigers live performance","Music","Country & Folk",34,"3221","3000","successful","US",31,"Long"
"Nobody: Essays from a Lifer Skater","Publishing","Nonfiction",12,"320","250","successful","US",30,"Medium"
"Club Life - Visual Novel","Games","Video Games",260,"8600","3882","successful","GB",22,"Medium"
"The Red Lipstick Project - Tour, Art Show & Book","Photography","Photography",20,"1055","36000","failed","US",30,"Medium"
"Room in Room: Warmer Winter, Lower Gas Bill and Much More","Design","Product Design",453,"43389","10000","successful","US",30,"Medium"
"Hitting The Road","Photography","Photography",10,"595","5363","failed","CA",30,"Medium"
"Producing a musical to be presented to local families!","Theater","Theater",0,"0","3500","failed","US",61,"Long"
"Shadow of the Tahli","Film & Video","Documentary",18,"891","3500","failed","US",45,"Long"
"Urban farming - FRESH ELEMENTS","Food","Community Gardens",10,"125","6276","failed","DK",30,"Medium"
"Apollo Dog, Making Austin's best Burgers and Dogs... MOBILE!","Food","Food",32,"3417","10000","failed","US",25,"Medium"
"Stephen Seidel's Labor of Love Film, MAY MERCY LIE, Based on True Story","Film & Video","Shorts",25,"2098","1500","successful","US",5,"Short"
"The Classy Custom Deck Box for Magic: the Gathering","Games","Tabletop Games",52,"2990","2500","successful","US",30,"Medium"
"Zpocalypse: An Epic Zombie Survival Board Game","Games","Tabletop Games",2045,"210237","15000","successful","US",45,"Long"
"Slavic Soul Party! Make a new record!","Music","Indie Rock",155,"12582","12500","successful","US",30,"Medium"
"Code & Quill Notebooks","Design","Product Design",1188,"46253","11000","successful","US",30,"Medium"
"ONEclassic2: DECT Wireless Speakers That Sound 200K Setup","Design","Product Design",18,"1622","387","canceled","HK",23,"Medium"
"Slightly Smarter Music For Your Ear Holes","Music","Rock",69,"5208","5000","successful","US",30,"Medium"
"SubWar the Card and Token Game","Games","Tabletop Games",11,"295","10000","failed","US",30,"Medium"
"Cooling Tower Lamp","Art","Sculpture",14,"1001","1000","successful","US",30,"Medium"
"glittered canvases","Art","Painting",0,"0","15000","failed","US",30,"Medium"
"Velocity Grill, the Ultimate Portable Grill.","Technology","Gadgets",127,"24578","145000","failed","US",31,"Long"
"#OWS","Film & Video","Documentary",0,"0","20000","failed","US",20,"Medium"
"Super RPS Fighter","Games","Video Games",4,"26","35000","failed","US",30,"Medium"
"Dropfleet Commander","Games","Tabletop Games",3918,"1200296","76304","successful","GB",35,"Long"
"Pizza Mafia - where there is no waiting involved","Food","Food",7,"150","41788","failed","GB",30,"Medium"
"Ultimate Football Software","Technology","Software",1,"1","71390","failed","NL",21,"Medium"
"Emerging Artist Trajectory Path","Art","Mixed Media",1,"1","10000","failed","US",30,"Medium"
"Nova Scotia--A View From Above (Aerial Drone Film)","Film & Video","Documentary",9,"111","3757","failed","CA",20,"Medium"
"Feline Fighting Force - a kid friendly game","Games","Tabletop Games",60,"3939","3800","successful","US",34,"Long"
"Old Line Outfitters, the new clothing brand for Maryland","Fashion","Fashion",15,"964","3000","failed","US",40,"Long"
"Photographing the American West: 31 days, 5,823 miles","Photography","Photography",79,"4062","7000","failed","US",22,"Medium"
"The Edge of the Earth ~ Corsica","Art","Art",48,"5005","4300","successful","US",30,"Medium"
"Frustr-8","Games","Mobile Games",1,"2","936","failed","GB",29,"Medium"
"The Veil: Cyberpunk RPG","Games","Tabletop Games",665,"11961","4371","successful","CA",32,"Long"
"Computers Pre-Built Vs New/Used Parts","Film & Video","Webseries",1,"1","5000","failed","US",30,"Medium"
"The Passing Season - a feature film","Film & Video","Film & Video",233,"32245","32000","successful","US",30,"Medium"
"Poppy Medical ID Bracelets","Design","Product Design",212,"44748","40000","successful","US",30,"Medium"
"DERIDION venture into the world unknown","Film & Video","Science Fiction",0,"0","20000","failed","US",30,"Medium"
"Covering the Impossible cost of Polaroid film","Photography","Photography",2,"85","322","failed","GB",30,"Medium"
"Ramen enamel pin!","Art","Illustration",26,"23","16","successful","MX",30,"Medium"
"Ocean Conservation Game","Games","Video Games",1,"5","40000","canceled","US",30,"Medium"
"GAYLE Season Three","Film & Video","Webseries",498,"15517","15000","successful","US",15,"Medium"
"Butterflies and Moths","Publishing","Children's Books",2,"3","5423","failed","AU",30,"Medium"
"Poetry, My Work, My Art, My Legacy","Publishing","Poetry",2,"201","7000","failed","US",30,"Medium"
"Neckglass drinkwear /Beer Pong by Doomsday Castle Star B2","Technology","Wearables",2,"105","5000","failed","US",29,"Medium"
"Valachio Avantiam - A Unique Modernistic Automatic Watch","Design","Product Design",54,"10965","13939","failed","CA",30,"Medium"
"The Cottage Market","Crafts","Crafts",0,"0","5000","failed","US",30,"Medium"
"INSTINCT SPORTSWEAR - The ocean waste line","Fashion","Apparel",32,"1725","25067","failed","DE",30,"Medium"
"Junie Cookies Holiday Edition","Food","Food",21,"1335","500","successful","US",22,"Medium"
"Orchard+Lex | The World's Most Versatile Pant","Fashion","Fashion",43,"4733","20000","failed","US",30,"Medium"
"THE DEADSTOCK DENIM BRAND: Perfect Fitting Premium Jeans!","Fashion","Fashion",276,"28941","20000","successful","US",45,"Long"
"Taking Autumn - A CSUN Short Film","Film & Video","Shorts",26,"1846","5000","failed","US",40,"Long"
"Just Great Sweatpants by Manaslu Athletics","Fashion","Apparel",26,"1731","6500","live","US",27,"Medium"
"Stability Gliders by Stabilized Steps - Freedom to Move!","Design","Product Design",31,"1709","25000","failed","US",30,"Medium"
"Laura Holliday Time Bomb","Music","Rock",55,"3001","2500","successful","US",66,"Long"
"Heritage Rhythm & Blues Music in the Wheatbelt! (Canceled)","Music","Blues",1,"29","35437","canceled","AU",30,"Medium"
"Human Energy transporter (Canceled)","Technology","Technology",0,"0","280000","canceled","US",30,"Medium"
"Age Past Dungeon Keep RPG Set","Games","Tabletop Games",23,"2176","1000","successful","US",30,"Medium"
"Stop Those Fish for iPhone & iPad","Games","Video Games",28,"2513","2500","successful","US",30,"Medium"
"Morris Taylor representing PAYTON LYNN","Music","Music",3,"130","3200","failed","US",30,"Medium"
"Real Talk With Shakiera J.","Film & Video","Webseries",2,"2","700","failed","US",30,"Medium"
"ClamPowder | Biodegradable Glitter - MAKES UP & BREAKS DOWN","Fashion","Fashion",33,"609","3499","failed","GB",28,"Medium"
"New Vintage Lady plus size Sewing Patterns 2017 collection","Fashion","Apparel",214,"15838","11000","successful","US",42,"Long"
"Primera Mexicana en ODI Orchidaceae Dance Intensive.","Dance","Residencies",30,"97","97","successful","MX",60,"Long"
"Infect - Strategy Board game","Games","Tabletop Games",13,"460","23873","failed","CA",30,"Medium"
"Reopening A Music Recording Studio With BNE THE EMPIRE","Music","Music",0,"0","1500","failed","US",35,"Long"
"Live Free Edmonton (Canceled)","Film & Video","Documentary",8,"93","76605","canceled","CA",30,"Medium"
"Fiend","Dance","Dance",12,"2001","1475","successful","GB",31,"Long"
"Dust! [The Cresthäal Chronicles] by Pymmm & Shiru Deku","Comics","Graphic Novels",25,"2657","17766","failed","FR",60,"Long"
"Say it LOUD! The Ultimate Black Culture Trivia Party Game","Games","Tabletop Games",65,"3206","12500","failed","US",45,"Long"
"Primer Eco-cuaderno hecho de piedra SIN árboles SIN agua!","Design","Design",4,"3","205","failed","MX",35,"Long"
"Free the sound","Music","Music",0,"0","200000","failed","US",30,"Medium"
"Santa Monica","Film & Video","Shorts",66,"5870","4000","successful","US",30,"Medium"
"Rats of the Horde: Steelfang's Wrath - A text adventure game","Games","Video Games",4,"25","500","canceled","US",30,"Medium"
"He'll Take Your Soul","Film & Video","Thrillers",1,"1","35000","failed","US",30,"Medium"
"Imagineer Records Studio Upgrade","Music","Music",0,"0","1400","undefined","NA",60,"Long"
"Story Shots","Photography","Photography",3,"106","25000","failed","US",60,"Long"
"5th Anniversary Celebration","Dance","Dance",25,"5000","4000","successful","US",30,"Medium"
"VidMag Media","Music","Indie Rock",0,"0","1000","failed","US",30,"Medium"
"Rise From The Ashes Part II: Manny's Story","Publishing","Fiction",1,"20","2000","failed","US",39,"Long"
"The SURROGATE","Film & Video","Shorts",65,"2634","2500","successful","US",35,"Long"
"Pure Juice Organics","Food","Food",72,"11313","10000","successful","US",30,"Medium"
"I wood creations, wooden designs crafted with care","Crafts","DIY",1,"31","7826","canceled","GB",30,"Medium"
"The Exo Typeface Family","Design","Typography",141,"7855","7500","successful","US",51,"Long"
"Preserving Ecuador's Heritage Nacional Cacao","Food","Food",23,"1065","17500","failed","US",46,"Long"
"African American Transsexual Account/Erotic Professionals","Film & Video","Shorts",1,"1","7500","failed","US",30,"Medium"
"White Rabbit","Film & Video","Shorts",144,"7716","7500","successful","US",37,"Long"
"Arcane Kids Arcade","Games","Games",10,"201","1000","failed","US",30,"Medium"
"Suggestion Please: Denver's Secret Improv Culture - a book","Publishing","Nonfiction",12,"315","2750","failed","US",30,"Medium"
"From New Zealand to Austria: A Sculptors quest","Art","Sculpture",6,"1327","7313","failed","GB",30,"Medium"
"Sticks And Stones: An Anti-Bullying Drama","Theater","Theater",144,"25555","25000","successful","US",30,"Medium"
"Drinking with Benefits","Film & Video","Television",28,"12044","20000","failed","US",33,"Long"
"Help Rope Press build the International New School!","Art","Art",49,"4597","33740","failed","GB",33,"Long"
"Egido Val Animal Coloring Book","Art","Illustration",3,"35","115","canceled","ES",20,"Medium"
"Marissa Noir Stud Bag","Fashion","Accessories",7,"5277","20000","failed","US",30,"Medium"
"Portable NES (Canceled)","Games","Video Games",0,"0","300","canceled","US",30,"Medium"
"London: Travels of a Gen Y Alien","Comics","Comics",1,"10","5711","failed","GB",45,"Long"
"Master of the Seven Teas","Games","Games",194,"36928","36893","successful","GB",30,"Medium"
"CYO Covers | DIY Printable Eco-Composite Mobile Covers","Design","Design",1,"42","25000","failed","US",44,"Long"
"Coaxifi Whole-Home Wi-Fi over Coax","Technology","Technology",17,"1890","103048","canceled","US",45,"Long"
"Help Our Elementary Kids Fly in Peter Pan","Theater","Musical",66,"5115","5000","successful","US",30,"Medium"
"Premium Bicycle® Playing Cards Deck","Games","Playing Cards",499,"24351","5000","successful","US",16,"Medium"
"Hamster Wheel Entertainment, LLC","Food","Food Trucks",8,"862","4000","canceled","US",45,"Long"
"MotionLab: a rucksack to take the weight off your shoulders","Design","Product Design",74,"23601","71636","failed","GB",21,"Medium"
"Tha Slumber Party","Film & Video","Television",0,"0","25000","failed","US",60,"Long"
"Ray Ray - Smiley Face Emoji (album)","Music","Pop",1,"15","12000","failed","US",30,"Medium"
"Peau de Luxe Skin Care and Wellness","Fashion","Fashion",0,"0","5000","live","US",30,"Medium"
"Decorative Light Panels","Art","Art",2,"25","28000","failed","US",45,"Long"
"One Two F U Artists' Collective Office/Storage (Canceled)","Art","Art",0,"0","1500","canceled","US",30,"Medium"
"Project Wet Dog","Fashion","Fashion",72,"3746","3000","successful","US",30,"Medium"
"Toymation Pad","Design","Product Design",5,"1172","25000","failed","US",30,"Medium"
"Derek Lochner's Debut Album","Music","Rock",17,"1700","1000","successful","US",30,"Medium"
"Antique 3D We Own The Seas 1893 Pirate Challenge Coin","Design","Product Design",15,"559","500","successful","US",30,"Medium"
"Wild Ponies: Galax","Music","Country & Folk",344,"24268","22500","successful","US",30,"Medium"
"Shane Meade & the Sound - Live from the Smoky Mountains","Music","Rock",17,"1044","4000","failed","US",37,"Long"
"Hustl 'n The hood(www.hustle.run)","Technology","Apps",1,"12","11822","live","CA",27,"Medium"
"Murder By The Collar","Publishing","Fiction",7,"740","30000","failed","US",45,"Long"
"Make The Cinderella Album Happen!","Music","Indie Rock",1,"20","998","failed","GB",30,"Medium"
"Wireless Flash-Drive (Canceled)","Technology","Gadgets",16,"2140","14607","canceled","NL",30,"Medium"
"Help Jennifer Word Beat Lyme & Put Her To Work For You!!","Publishing","Fiction",32,"1575","500","successful","US",30,"Medium"
"Gypsy Hill First Album","Music","World Music",104,"4822","3220","successful","GB",21,"Medium"
"Animal ipad accessory (Canceled)","Design","Product Design",14,"712","10000","canceled","US",60,"Long"
"Beautiful Interfaces: The privacy paradox","Art","Digital Art",63,"1540","1290","successful","US",23,"Medium"
"Helen - Greek Food and Wine","Food","Restaurants",66,"16935","35000","failed","US",30,"Medium"
"Community Mobile Machine Shop","Technology","Fabrication Tools",1,"500","20000","failed","US",30,"Medium"
"INCURSION: Dragonfire","Publishing","Fiction",17,"824","500","successful","US",30,"Medium"
"A Word A Day - iPhone & Android App","Technology","Apps",4,"12","3074","failed","GB",30,"Medium"
"BAU 1296: Redefining the Minimalist Luxury Watch","Design","Product Design",58,"10565","30420","canceled","ES",29,"Medium"
"Milkman Cafe- Neighborhood Chef & Corner Shop","Food","Food",97,"8685","8000","successful","US",23,"Medium"
"Lil' Smokies Debut Album","Music","Music",220,"12155","7500","successful","US",30,"Medium"
"STEALING  TIME","Theater","Theater",123,"6626","6000","successful","US",47,"Long"
"Publish Talented Young Writers in Whatcom County!","Publishing","Publishing",41,"1686","1500","successful","US",26,"Medium"
"Omissionary","Publishing","Poetry",31,"1057","800","successful","US",30,"Medium"
"Bluebirds by Joe Brondo","Theater","Plays",75,"7365","7000","successful","US",30,"Medium"
"Publishing my dream fantasy novel","Publishing","Fiction",7,"320","3183","failed","GB",30,"Medium"
"Sunday Morning Pancake Mix","Food","Food",162,"6475","5000","successful","US",23,"Medium"
"Gumball Machine Enamel Pins with Coin Charm - Ships Free","Fashion","Accessories",16,"205","150","successful","US",7,"Short"
"The Sword of the Bastard Elf - A Two-Fisted Fantasy Gamebook","Games","Tabletop Games",241,"7357","1568","successful","GB",21,"Medium"
"Save History: Miami's Oldest Bar, legendary Tobacco Road!","Music","Rock",81,"5271","50000","failed","US",45,"Long"
"This Old House","Film & Video","Film & Video",1,"1000","750000","failed","US",30,"Medium"
"Platform 7even Record Label Showcase","Music","Music",1,"2","19794","failed","GB",60,"Long"
"Minor Motion Picture","Film & Video","Narrative Film",72,"10226","10000","successful","US",30,"Medium"
"Combat Cats","Games","Video Games",254,"2076","1600","successful","US",30,"Medium"
"Project Nay (Canceled)","Games","Video Games",5,"56","50000","canceled","US",30,"Medium"
"Notice the Unnoticed - Queens (Canceled)","Photography","People",0,"0","250","canceled","US",30,"Medium"
"Ariana Grande - The Honeymoon Tour - LIVE ALBUM","Music","Pop",2,"15","300","failed","US",23,"Medium"
"Project Deleted! (Canceled)","Technology","Camera Equipment",3,"2559","261284","canceled","GB",30,"Medium"
"Tie-Ranny Ties (Canceled)","Fashion","Apparel",0,"0","5000","canceled","US",18,"Medium"
"The R Word. The story of The Washington, DC Football Team","Film & Video","Documentary",4,"178","65000","failed","US",60,"Long"
"Besee Multipurpose Light:-The Only Bike Light You Will Need","Technology","Gadgets",23,"1749","45075","suspended","GB",30,"Medium"
"The International Sign for Choking: A Foreign Film","Film & Video","Narrative Film",102,"8112","8000","successful","US",66,"Long"
"AZ Board Source Premium Cornhole Boards & Giant Size Games","Games","Live Games",9,"317","10000","failed","US",60,"Long"
"MultiDeck - Burning Man 2015 Art Installation","Art","Public Art",35,"2714","11000","failed","US",15,"Medium"
"The Postwoman Movie (2014)","Film & Video","Narrative Film",172,"25171","25000","successful","US",60,"Long"
"Champions of Aurum","Games","Mobile Games",2,"60","45000","failed","US",60,"Long"
"TOTAL EXTINCTION - Battle for Karnak","Games","Tabletop Games",287,"63973","61784","successful","GB",45,"Long"
"Linecheck magazine","Art","Mixed Media",2,"20","1994","failed","GB",60,"Long"
"Ultra-Tiny Epic Kingdoms, Board Game in a Card Box","Games","Tabletop Games",5119,"98410","10000","successful","US",7,"Short"
"Clash of Bonds CCG (Canceled)","Games","Tabletop Games",7,"130","10000","canceled","US",60,"Long"
"BloodLine (Canceled)","Games","Video Games",1,"70","15000","canceled","US",31,"Long"
"DEAD LAST - New Classic Rock","Music","Music",7,"1070","15000","failed","US",28,"Medium"
"Testament","Fashion","Apparel",3,"16","1500","failed","US",23,"Medium"
"Help Me Make Music","Music","Rock",0,"0","15000","failed","US",44,"Long"
"The space case for iPhone 6 & 6S with flash memory","Technology","Technology",13,"479","18401","failed","NZ",60,"Long"
"Cute Galaxy Narwhal Purse & Cape! Starwhal by inki-Drop","Crafts","Crafts",140,"10406","24000","canceled","US",30,"Medium"
"Pere Noel, The story of Christmas","Film & Video","Narrative Film",1,"13","134926","failed","CA",30,"Medium"
"In Search of a Word is In Search of an EP!","Music","Music",16,"585","500","successful","US",30,"Medium"
"Poe - Macabre Master","Comics","Comics",83,"2454","1200","successful","US",40,"Long"
"Historical Fiction","Publishing","Fiction",9,"18","25000","failed","US",30,"Medium"
"The Art Grab Bag (Canceled)","Art","Art",1,"5","5000","canceled","US",30,"Medium"
"Luxe Espresso -The Rolls Royce of organic coffee","Food","Drinks",22,"82","299","failed","SE",30,"Medium"
"The Quest of Heart","Publishing","Children's Books",45,"5845","5000","successful","US",30,"Medium"
"One-page calendar 2017","Design","Product Design",4,"13","77","failed","HK",31,"Long"
"Ayo: Lost and Found","Publishing","Publishing",0,"0","1000","failed","US",9,"Short"
"Bridget is Self-Publishing her Crocodiles and Dinosaurs!","Art","Illustration",26,"600","450","successful","US",30,"Medium"
"No Sh!t, There I Was - An Anthology of Improbable Tales","Comics","Anthologies",466,"11085","8500","successful","US",35,"Long"
"Candles at the lowest price on the internet.  Scented Candle","Crafts","Candles",1,"50","1000","failed","US",30,"Medium"
"MMJ eoddibles Kitchen Investment wanted (Canceled)","Food","Spaces",0,"0","333000","canceled","US",30,"Medium"
"20 ways to cook Rabbit","Publishing","Publishing",3,"71","790","failed","US",23,"Medium"
"Nashville TV:  Let's BLAB About It!","Film & Video","Television",0,"0","15000","failed","US",30,"Medium"
"Sisyphus Productions presents: Macbeth","Theater","Theater",82,"2054","2000","successful","US",31,"Long"
"Monolith's Whisper Remake","Film & Video","Film & Video",32,"623","25000","failed","US",60,"Long"
"At Once And Forever","Film & Video","Narrative Film",14,"585","8500","failed","US",30,"Medium"
"Purgatori EP Project","Music","Pop",2,"60","10000","failed","US",30,"Medium"
"One Dog One Collar At A Time","Crafts","Crafts",2,"51","4000","failed","US",35,"Long"
"SKY CITY HAYA","Film & Video","Television",119,"14082","11000","successful","US",30,"Medium"
"SARA","Film & Video","Drama",6,"1294","8090","failed","GB",60,"Long"
"Against All Odds: Running Headlong","Film & Video","Documentary",2,"35","180000","failed","US",30,"Medium"
"Family connected gaming","Technology","Apps",0,"0","3000","failed","US",30,"Medium"
"Shadow Gangs: 80's ninja arcade action revival","Games","Video Games",63,"6766","47283","canceled","GB",30,"Medium"
"HSD anthro scifi miniatures","Games","Tabletop Games",86,"10617","10000","successful","US",30,"Medium"
"Last Class Heroes - 2D Action RPG Eyecandy!","Games","Video Games",143,"5855","5000","successful","US",45,"Long"
"I'm On Fire","Publishing","Fiction",43,"1503","950","successful","US",11,"Short"
"Codename Orpheus","Dance","Dance",13,"650","540","successful","US",40,"Long"
"Youtube: Educational Minecraft Videos for Kids and Family.","Film & Video","Family",1,"9","1200","failed","US",20,"Medium"
"Shadowfist: A Better Tomorrow","Games","Tabletop Games",177,"27268","30000","failed","US",32,"Long"
"Ever wanted to send a friend a personalized onion?","Art","Mixed Media",0,"0","3000","failed","US",60,"Long"
"Alba's Edge - The Album","Music","World Music",186,"9131","7500","successful","US",90,"Long"
"Run To The Horizon  20/20 Vision Campaign","Film & Video","Film & Video",35,"4590","4500","successful","US",22,"Medium"
"Get Ahead by Giving Back - the book!","Publishing","Nonfiction",55,"2841","7000","failed","US",60,"Long"
"Bulletproof Fashion, LLC","Fashion","Apparel",2,"30","20000","failed","US",24,"Medium"
